"Tahun","Produksi"
"1970","18693649"
"1971","20483687"
"1972","19393933"
"1973","21490578"
"1974","22476073"
"1975","22339455"
"1976","23300939"
"1977","23347132"
"1978","25771570"
"1979","26282663"
"1980","29651905"
"1981","32774176"
"1982","33583677"
"1983","35303106"
"1984","38136446"
"1985","39032945"
"1986","39726761"
"1987","40078195"
"1988","41676170"
"1989","44725582"
"1990","45178751"
"1991","44688247"
"1992","48240009"
"1993","48181087"
"1994","46641524"
"1995","49744140"
"1996","51101506"
"1997","49377054"
"1998","49236692"
"1999","50866387"
"2000","51898852"
"2001","50460782"
"2002","51489694"
"2003","52137604"
"2004","54088468"
"2005","54151097"
"2006","54454937"
"2007","57157435"
"2008","60325925"
"2009","64398890"
"2010","66469394"
"2011","65756904"
"2012","69056126"
"2013","71279709"
"2014","70846465"
"2015","75397841"
"2016","79354767"
"2017","81148617"
"2018","59101577.84"
"2019","54604033.34"
"2020","54649202.24"
"2021","53802637.44"
"2022","54338410.44"
